=== LTP Test Cases Ranking ===
Analysis time: Fri Aug 15 10:38:15 CST 2025
Source: /home/kidszz/F7LY/ltp_judge/Riscv输出 (6).txt

Test Case Name                 | Pass Count | Total Count | Pass Rate 
============================================================================
epoll_ctl03                    | 256        | 256         | 100.0     %
access01                       | 199        | 199         | 100.0     %
waitpid01                      | 104        | 117         | 88.8      %
getpid01                       | 100        | 100         | 100.0     %
pipe11                         | 70         | 70          | 100.0     %
timer_settime02                | 48         | 48          | 100.0     %
chmod01                        | 32         | 32          | 100.0     %
confstr01                      | 32         | 32          | 100.0     %
posix_fadvise03                | 32         | 32          | 100.0     %
posix_fadvise03_64             | 32         | 32          | 100.0     %
signal04                       | 28         | 28          | 100.0     %
name_to_handle_at01            | 27         | 27          | 100.0     %
clock_getres01                 | 24         | 44          | 54.5      %
getitimer01                    | 24         | 30          | 80.0      %
setregid03                     | 22         | 22          | 100.0     %
llseek03                       | 18         | 18          | 100.0     %
personality01                  | 18         | 18          | 100.0     %
setitimer01                    | 18         | 18          | 100.0     %
pathconf01                     | 17         | 17          | 100.0     %
getrlimit01                    | 16         | 16          | 100.0     %
getrlimit03                    | 15         | 16          | 93.7      %
lseek02                        | 15         | 15          | 100.0     %
select01                       | 14         | 19          | 73.6      %
link04                         | 14         | 14          | 100.0     %
setreuid03                     | 14         | 14          | 100.0     %
setreuid05                     | 14         | 14          | 100.0     %
select03                       | 13         | 42          | 30.9      %
kill11                         | 13         | 24          | 54.1      %
access02                       | 12         | 16          | 75.0      %
clock_nanosleep01              | 12         | 14          | 85.7      %
madvise10                      | 12         | 14          | 85.7      %
getdents02                     | 12         | 13          | 92.3      %
clock_settime02                | 12         | 12          | 100.0     %
readlinkat01                   | 12         | 12          | 100.0     %
setregid02                     | 12         | 12          | 100.0     %
stat01                         | 12         | 12          | 100.0     %
msgrcv07                       | 11         | 15          | 73.3      %
madvise02                      | 11         | 13          | 84.6      %
clone302                       | 11         | 12          | 91.6      %
futex_wake03                   | 11         | 11          | 100.0     %
gettid02                       | 11         | 11          | 100.0     %
clock_gettime02                | 10         | 10          | 100.0     %
readv01                        | 10         | 10          | 100.0     %
socketpair01                   | 10         | 10          | 100.0     %
add_key02                      | 9          | 9           | 100.0     %
fpathconf01                    | 9          | 9           | 100.0     %
getrandom03                    | 9          | 9           | 100.0     %
getsockopt01                   | 9          | 9           | 100.0     %
name_to_handle_at02            | 9          | 9           | 100.0     %
open_by_handle_at01            | 9          | 9           | 100.0     %
setregid04                     | 9          | 9           | 100.0     %
setresuid01                    | 9          | 9           | 100.0     %
socket01                       | 9          | 9           | 100.0     %
access03                       | 8          | 8           | 100.0     %
add_key01                      | 8          | 8           | 100.0     %
fallocate03                    | 8          | 8           | 100.0     %
fchmod01                       | 8          | 8           | 100.0     %
getpgid01                      | 8          | 8           | 100.0     %
mmap06                         | 8          | 8           | 100.0     %
msgrcv02                       | 8          | 8           | 100.0     %
preadv02                       | 8          | 8           | 100.0     %
preadv02_64                    | 8          | 8           | 100.0     %
readlink03                     | 8          | 8           | 100.0     %
sched_setscheduler01           | 8          | 8           | 100.0     %
setsockopt01                   | 8          | 8           | 100.0     %
timer_delete01                 | 8          | 8           | 100.0     %
truncate03                     | 8          | 8           | 100.0     %
truncate03_64                  | 8          | 8           | 100.0     %
writev07                       | 8          | 8           | 100.0     %
clock_adjtime01                | 7          | 15          | 46.6      %
faccessat201                   | 7          | 7           | 100.0     %
fcntl36                        | 7          | 7           | 100.0     %
fcntl36_64                     | 7          | 7           | 100.0     %
getpeername01                  | 7          | 7           | 100.0     %
pipe2_01                       | 7          | 7           | 100.0     %
pwritev02                      | 7          | 7           | 100.0     %
pwritev02_64                   | 7          | 7           | 100.0     %
setreuid01                     | 7          | 7           | 100.0     %
setreuid02                     | 7          | 7           | 100.0     %
unlinkat01                     | 7          | 7           | 100.0     %
close_range02                  | 6          | 10          | 60.0      %
sched_setparam04               | 6          | 8           | 75.0      %
alarm02                        | 6          | 6           | 100.0     %
capget01                       | 6          | 6           | 100.0     %
chown05                        | 6          | 6           | 100.0     %
creat01                        | 6          | 6           | 100.0     %
dup202                         | 6          | 6           | 100.0     %
fchmodat01                     | 6          | 6           | 100.0     %
fchown05                       | 6          | 6           | 100.0     %
fcntl02                        | 6          | 6           | 100.0     %
fcntl02_64                     | 6          | 6           | 100.0     %
fstat02                        | 6          | 6           | 100.0     %
fstat02_64                     | 6          | 6           | 100.0     %
futex_wake01                   | 6          | 6           | 100.0     %
getsockname01                  | 6          | 6           | 100.0     %
kcmp02                         | 6          | 6           | 100.0     %
msgsnd02                       | 6          | 6           | 100.0     %
open08                         | 6          | 6           | 100.0     %
pipe12                         | 6          | 6           | 100.0     %
posix_fadvise01                | 6          | 6           | 100.0     %
posix_fadvise01_64             | 6          | 6           | 100.0     %
posix_fadvise02                | 6          | 6           | 100.0     %
posix_fadvise02_64             | 6          | 6           | 100.0     %
readlinkat02                   | 6          | 6           | 100.0     %
sched_get_priority_max01       | 6          | 6           | 100.0     %
sched_get_priority_min01       | 6          | 6           | 100.0     %
sched_getparam03               | 6          | 6           | 100.0     %
sched_getscheduler01           | 6          | 6           | 100.0     %
sched_setparam02               | 6          | 6           | 100.0     %
setdomainname02                | 6          | 6           | 100.0     %
setresgid02                    | 6          | 6           | 100.0     %
signal01                       | 6          | 6           | 100.0     %
unlink07                       | 6          | 6           | 100.0     %
waitid05                       | 6          | 6           | 100.0     %
waitid06                       | 6          | 6           | 100.0     %
writev01                       | 6          | 6           | 100.0     %
fcntl15                        | 5          | 12          | 41.6      %
fcntl15_64                     | 5          | 12          | 41.6      %
bpf_map01                      | 5          | 10          | 50.0      %
epoll_wait06                   | 5          | 9           | 55.5      %
bind01                         | 5          | 7           | 71.4      %
faccessat202                   | 5          | 6           | 83.3      %
fchmodat02                     | 5          | 6           | 83.3      %
fcntl05                        | 5          | 6           | 83.3      %
fcntl05_64                     | 5          | 6           | 83.3      %
msgget02                       | 5          | 6           | 83.3      %
sched_rr_get_interval03        | 5          | 6           | 83.3      %
stat03                         | 5          | 6           | 83.3      %
statfs02                       | 5          | 6           | 83.3      %
syslog12                       | 5          | 6           | 83.3      %
delete_module02                | 5          | 5           | 100.0     %
fsync03                        | 5          | 5           | 100.0     %
getcwd01                       | 5          | 5           | 100.0     %
in6_01                         | 5          | 5           | 100.0     %
kcmp01                         | 5          | 5           | 100.0     %
open07                         | 5          | 5           | 100.0     %
openat01                       | 5          | 5           | 100.0     %
pwrite02                       | 5          | 5           | 100.0     %
pwrite02_64                    | 5          | 5           | 100.0     %
read02                         | 5          | 5           | 100.0     %
readv02                        | 5          | 5           | 100.0     %
sendfile04                     | 5          | 5           | 100.0     %
setregid01                     | 5          | 5           | 100.0     %
statvfs02                      | 5          | 5           | 100.0     %
utime07                        | 5          | 5           | 100.0     %
waitid01                       | 5          | 5           | 100.0     %
waitid07                       | 5          | 5           | 100.0     %
open_by_handle_at02            | 4          | 7           | 57.1      %
capget02                       | 4          | 6           | 66.6      %
accept03                       | 4          | 5           | 80.0      %
sigpending02                   | 4          | 5           | 80.0      %
chmod03                        | 4          | 4           | 100.0     %
clock_nanosleep04              | 4          | 4           | 100.0     %
dup201                         | 4          | 4           | 100.0     %
dup204                         | 4          | 4           | 100.0     %
ftruncate03                    | 4          | 4           | 100.0     %
ftruncate03_64                 | 4          | 4           | 100.0     %
futex_wait01                   | 4          | 4           | 100.0     %
getpriority02                  | 4          | 4           | 100.0     %
getrandom01                    | 4          | 4           | 100.0     %
lseek01                        | 4          | 4           | 100.0     %
mlock01                        | 4          | 4           | 100.0     %
mlock202                       | 4          | 4           | 100.0     %
munlock01                      | 4          | 4           | 100.0     %
sched_getparam01               | 4          | 4           | 100.0     %
sched_rr_get_interval01        | 4          | 4           | 100.0     %
sched_setaffinity01            | 4          | 4           | 100.0     %
sendfile03                     | 4          | 4           | 100.0     %
setegid01                      | 4          | 4           | 100.0     %
setfsgid02                     | 4          | 4           | 100.0     %
setresgid03                    | 4          | 4           | 100.0     %
setresuid02                    | 4          | 4           | 100.0     %
socket02                       | 4          | 4           | 100.0     %
socketpair02                   | 4          | 4           | 100.0     %
waitpid04                      | 4          | 4           | 100.0     %
waitpid09                      | 4          | 4           | 100.0     %
epoll_ctl02                    | 3          | 9           | 33.3      %
msgctl04                       | 3          | 8           | 37.5      %
flock04                        | 3          | 6           | 50.0      %
epoll_wait03                   | 3          | 5           | 60.0      %
waitid11                       | 3          | 5           | 60.0      %
flock06                        | 3          | 4           | 75.0      %
getdents01                     | 3          | 4           | 75.0      %
sched_getaffinity01            | 3          | 4           | 75.0      %
capset01                       | 3          | 3           | 100.0     %
close01                        | 3          | 3           | 100.0     %
dup07                          | 3          | 3           | 100.0     %
dup3_02                        | 3          | 3           | 100.0     %
epoll_pwait05                  | 3          | 3           | 100.0     %
faccessat01                    | 3          | 3           | 100.0     %
fcntl29                        | 3          | 3           | 100.0     %
fcntl29_64                     | 3          | 3           | 100.0     %
flock01                        | 3          | 3           | 100.0     %
flock02                        | 3          | 3           | 100.0     %
fork04                         | 3          | 3           | 100.0     %
getitimer02                    | 3          | 3           | 100.0     %
getpriority01                  | 3          | 3           | 100.0     %
gettimeofday01                 | 3          | 3           | 100.0     %
mlock02                        | 3          | 3           | 100.0     %
mmap09                         | 3          | 3           | 100.0     %
nanosleep04                    | 3          | 3           | 100.0     %
nice01                         | 3          | 3           | 100.0     %
pread02                        | 3          | 3           | 100.0     %
pread02_64                     | 3          | 3           | 100.0     %
preadv01                       | 3          | 3           | 100.0     %
preadv01_64                    | 3          | 3           | 100.0     %
pselect02                      | 3          | 3           | 100.0     %
pselect02_64                   | 3          | 3           | 100.0     %
pwritev01                      | 3          | 3           | 100.0     %
pwritev01_64                   | 3          | 3           | 100.0     %
setgroups02                    | 3          | 3           | 100.0     %
setitimer02                    | 3          | 3           | 100.0     %
