=== Analysis of LTP Test Output ===
Source file: /home/kidszz/F7LY/ltp_judge/Riscv输出 (6).txt
Analysis time: Fri Aug 15 10:39:53 CST 2025

=== Test Cases Found ===
Total test cases found: 527

Parsing test results using judge_ltp_musl.py...
Successfully parsed results!
Total cases: 527
Total passed: 2751
Total tests: 3041
Pass rate: 90.46%

=== Individual Test Case Results ===
abort01                        | Pass: 1    | Total: 2    | Rate: 50.00%
accept03                       | Pass: 4    | Total: 5    | Rate: 80.00%
accept4_01                     | Pass: 1    | Total: 3    | Rate: 33.33%
access01                       | Pass: 199  | Total: 199  | Rate: 100.00%
access02                       | Pass: 12   | Total: 16   | Rate: 75.00%
access03                       | Pass: 8    | Total: 8    | Rate: 100.00%
add_key01                      | Pass: 8    | Total: 8    | Rate: 100.00%
add_key02                      | Pass: 9    | Total: 9    | Rate: 100.00%
add_key03                      | Pass: 1    | Total: 1    | Rate: 100.00%
add_key04                      | Pass: 1    | Total: 1    | Rate: 100.00%
adjtimex01                     | Pass: 1    | Total: 2    | Rate: 50.00%
adjtimex02                     | Pass: 2    | Total: 6    | Rate: 33.33%
alarm02                        | Pass: 6    | Total: 6    | Rate: 100.00%
alarm03                        | Pass: 2    | Total: 2    | Rate: 100.00%
alarm05                        | Pass: 2    | Total: 3    | Rate: 66.66%
alarm06                        | Pass: 1    | Total: 2    | Rate: 50.00%
alarm07                        | Pass: 2    | Total: 2    | Rate: 100.00%
bind01                         | Pass: 5    | Total: 7    | Rate: 71.42%
bind02                         | Pass: 1    | Total: 1    | Rate: 100.00%
bpf_map01                      | Pass: 5    | Total: 10   | Rate: 50.00%
bpf_prog01                     | Pass: 1    | Total: 2    | Rate: 50.00%
bpf_prog02                     | Pass: 1    | Total: 2    | Rate: 50.00%
brk01                          | Pass: 2    | Total: 2    | Rate: 100.00%
brk02                          | Pass: 2    | Total: 2    | Rate: 100.00%
capget01                       | Pass: 6    | Total: 6    | Rate: 100.00%
capget02                       | Pass: 4    | Total: 6    | Rate: 66.66%
capset01                       | Pass: 3    | Total: 3    | Rate: 100.00%
capset04                       | Pass: 1    | Total: 1    | Rate: 100.00%
chdir04                        | Pass: 2    | Total: 2    | Rate: 100.00%
chmod01                        | Pass: 32   | Total: 32   | Rate: 100.00%
chmod03                        | Pass: 4    | Total: 4    | Rate: 100.00%
chmod05                        | Pass: 1    | Total: 1    | Rate: 100.00%
chmod07                        | Pass: 1    | Total: 1    | Rate: 100.00%
chown01                        | Pass: 1    | Total: 1    | Rate: 100.00%
chown02                        | Pass: 2    | Total: 2    | Rate: 100.00%
chown03                        | Pass: 1    | Total: 1    | Rate: 100.00%
chown05                        | Pass: 6    | Total: 6    | Rate: 100.00%
chroot01                       | Pass: 1    | Total: 1    | Rate: 100.00%
chroot02                       | Pass: 1    | Total: 2    | Rate: 50.00%
clock_adjtime01                | Pass: 7    | Total: 15   | Rate: 46.66%
clock_adjtime02                | Pass: 2    | Total: 2    | Rate: 100.00%
clock_getres01                 | Pass: 24   | Total: 44   | Rate: 54.54%
clock_gettime01                | Pass: 16   | Total: 16   | Rate: 100.00%
clock_gettime02                | Pass: 10   | Total: 10   | Rate: 100.00%
clock_gettime04                | Pass: 0    | Total: 6    | Rate: 0%
clock_nanosleep01              | Pass: 12   | Total: 14   | Rate: 85.71%
clock_nanosleep04              | Pass: 4    | Total: 4    | Rate: 100.00%
clock_settime02                | Pass: 12   | Total: 12   | Rate: 100.00%
clone01                        | Pass: 2    | Total: 2    | Rate: 100.00%
clone02                        | Pass: 0    | Total: 0    | Rate: N/A
clone03                        | Pass: 1    | Total: 1    | Rate: 100.00%
clone04                        | Pass: 1    | Total: 1    | Rate: 100.00%
clone05                        | Pass: 1    | Total: 1    | Rate: 100.00%
clone06                        | Pass: 1    | Total: 1    | Rate: 100.00%
clone302                       | Pass: 11   | Total: 12   | Rate: 91.66%
close_range02                  | Pass: 6    | Total: 10   | Rate: 60.00%
close01                        | Pass: 3    | Total: 3    | Rate: 100.00%
close02                        | Pass: 1    | Total: 1    | Rate: 100.00%
confstr01                      | Pass: 34   | Total: 34   | Rate: 100.00%
creat01                        | Pass: 6    | Total: 6    | Rate: 100.00%
creat03                        | Pass: 1    | Total: 1    | Rate: 100.00%
creat04                        | Pass: 1    | Total: 2    | Rate: 50.00%
creat05                        | Pass: 1    | Total: 1    | Rate: 100.00%
creat08                        | Pass: 9    | Total: 9    | Rate: 100.00%
cve-2017-17052                 | Pass: 1    | Total: 1    | Rate: 100.00%
delete_module02                | Pass: 5    | Total: 5    | Rate: 100.00%
dirtypipe                      | Pass: 1    | Total: 1    | Rate: 100.00%
dup01                          | Pass: 2    | Total: 2    | Rate: 100.00%
dup02                          | Pass: 2    | Total: 2    | Rate: 100.00%
dup03                          | Pass: 1    | Total: 1    | Rate: 100.00%
dup3_01                        | Pass: 2    | Total: 2    | Rate: 100.00%
dup3_02                        | Pass: 3    | Total: 3    | Rate: 100.00%
dup04                          | Pass: 2    | Total: 2    | Rate: 100.00%
dup05                          | Pass: 1    | Total: 1    | Rate: 100.00%
dup06                          | Pass: 1    | Total: 1    | Rate: 100.00%
dup07                          | Pass: 3    | Total: 3    | Rate: 100.00%
dup201                         | Pass: 4    | Total: 4    | Rate: 100.00%
dup202                         | Pass: 6    | Total: 6    | Rate: 100.00%
dup203                         | Pass: 2    | Total: 4    | Rate: 50.00%
dup204                         | Pass: 4    | Total: 4    | Rate: 100.00%
dup205                         | Pass: 1    | Total: 1    | Rate: 100.00%
dup206                         | Pass: 1    | Total: 1    | Rate: 100.00%
dup207                         | Pass: 2    | Total: 2    | Rate: 100.00%
epoll_create01                 | Pass: 2    | Total: 4    | Rate: 50.00%
epoll_create1_01               | Pass: 1    | Total: 2    | Rate: 50.00%
epoll_create1_02               | Pass: 2    | Total: 2    | Rate: 100.00%
epoll_create02                 | Pass: 2    | Total: 3    | Rate: 66.66%
epoll_ctl02                    | Pass: 3    | Total: 9    | Rate: 33.33%
epoll_ctl03                    | Pass: 256  | Total: 256  | Rate: 100.00%
epoll_pwait01                  | Pass: 1    | Total: 2    | Rate: 50.00%
epoll_pwait02                  | Pass: 2    | Total: 2    | Rate: 100.00%
epoll_pwait05                  | Pass: 3    | Total: 3    | Rate: 100.00%
epoll_wait03                   | Pass: 3    | Total: 5    | Rate: 60.00%
epoll_wait04                   | Pass: 0    | Total: 2    | Rate: 0%
epoll_wait06                   | Pass: 5    | Total: 9    | Rate: 55.55%
epoll_wait07                   | Pass: 1    | Total: 5    | Rate: 20.00%
execve01                       | Pass: 0    | Total: 1    | Rate: 0%
execve06                       | Pass: 0    | Total: 1    | Rate: 0%
exit02                         | Pass: 1    | Total: 1    | Rate: 100.00%
exit_group01                   | Pass: 1    | Total: 1    | Rate: 100.00%
faccessat01                    | Pass: 3    | Total: 3    | Rate: 100.00%
faccessat02                    | Pass: 2    | Total: 2    | Rate: 100.00%
faccessat201                   | Pass: 7    | Total: 7    | Rate: 100.00%
faccessat202                   | Pass: 5    | Total: 6    | Rate: 83.33%
fallocate03                    | Pass: 8    | Total: 8    | Rate: 100.00%
fanotify08                     | Pass: 1    | Total: 2    | Rate: 50.00%
fchdir01                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchdir02                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchdir03                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchmod01                       | Pass: 8    | Total: 8    | Rate: 100.00%
fchmod02                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchmod03                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchmod04                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchmod05                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchmodat01                     | Pass: 6    | Total: 6    | Rate: 100.00%
fchmodat02                     | Pass: 5    | Total: 6    | Rate: 83.33%
fchown01                       | Pass: 1    | Total: 1    | Rate: 100.00%
fchown02                       | Pass: 2    | Total: 2    | Rate: 100.00%
